성분코드,성분명,함량,단일복합,주성분코드,제형코드,투여경로,투여경로명,제형명칭,동일 제형군,함량수치,함량단위
272100ATB,arginic acid,200mg,복합,272100ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",200.0,mg
272100ATB,hydrated silica,130mg,복합,272100ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",130.0,mg
272100ATB,magnesium carbonate,40mg,복합,272100ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",40.0,mg
272200ATB,aluminum hydroxide gel(dried),250mg,복합,272200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",250.0,mg
272200ATB,magnesium oxide,120mg,복합,272200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",120.0,mg
272200ATB,methylmethionine sulfonium chloride,12.5mg,복합,272200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",12.5,mg
272200ATB,scopolia ext.,5.5mg,복합,272200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",5.5,mg
272300ATB,aluminum hydroxide gel(dried),400mg,복합,272300ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",400.0,mg
272300ATB,dicyclomine HCl,5mg,복합,272300ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",5.0,mg
272300ATB,magnesium oxide,200mg,복합,272300ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",200.0,mg
272300ATB,sodium carboxymethylcellulose,10mg,복합,272300ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",10.0,mg
272400ATB,dizet,3.75mg,복합,272400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",3.75,mg
272400ATB,magnesium carbonate,80mg,복합,272400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",80.0,mg
272400ATB,scopolia ext.,7.5mg,복합,272400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",7.5,mg
272400ATB,sodium bicarbonate,250mg,복합,272400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",250.0,mg
275600ATB,azulene soluble,1mg,복합,275600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",1.0,mg
275600ATB,pancreatin,175mg,복합,275600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",175.0,mg
275600ATB,simethicone,30mg,복합,275600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",30.0,mg
275600ATB,ursodeoxycholic acid,10mg,복합,275600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",10.0,mg
275800ATB,biodiastase-2000,5mg,복합,275800ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",5.0,mg
275800ATB,cellulase,5mg,복합,275800ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",5.0,mg
275800ATB,lipase AP6,5mg,복합,275800ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",5.0,mg
275800ATB,ursodeoxycholic acid,10mg,복합,275800ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",10.0,mg
275900ATB,calcium lactate,50mg,복합,275900ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",50.0,mg
275900ATB,pancreatin,170mg,복합,275900ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",170.0,mg
275900ATB,silicate anhydrous,90mg,복합,275900ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",90.0,mg
275900ATB,simethicone,94.43mg,복합,275900ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",94.43,mg
276000ATB,cellulase AP3,10mg,복합,276000ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",10.0,mg
276000ATB,pancreatin,315mg,복합,276000ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",315.0,mg
276000ATB,simethicone,30mg,복합,276000ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",30.0,mg
276000ATB,ursodeoxycholic acid,10mg,복합,276000ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",10.0,mg
276100ATB,dimethicone,25mg,복합,276100ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",25.0,mg
276100ATB,hemicellulase,50mg,복합,276100ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",50.0,mg
276100ATB,ox bile ext.,25mg,복합,276100ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",25.0,mg
276100ATB,pancreatin,175mg,복합,276100ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",175.0,mg
276200ATB,dizet A.P.,30mg,복합,276200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",30.0,mg
276200ATB,neusilin A,100mg,복합,276200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",100.0,mg
276200ATB,scopolia ext.,5mg,복합,276200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",5.0,mg
276200ATB,sodium bicarbonate,133mg,복합,276200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",133.0,mg
276300ATB,lipase 100,5mg,복합,276300ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",5.0,mg
276300ATB,s-lase 1000,12mg,복합,276300ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",12.0,mg
276300ATB,thiamine nitrate,1.5mg,복합,276300ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",1.5,mg
276300ATB,yeast dried,335mg,복합,276300ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",335.0,mg
276400ATB,saccharomyces siccatum,100mg,복합,276400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",100.0,mg
276400ATB,s-lase,40mg,복합,276400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",40.0,mg
276400ATB,sodium bicarbonate,250mg,복합,276400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",250.0,mg
276400ATB,yeast dried,100mg,복합,276400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",100.0,mg
285800ATB,aluminum hydroxide gel(dried),100mg,복합,285800ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",100.0,mg
285800ATB,calcium carbonate p.p.t.,60mg,복합,285800ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",60.0,mg
285800ATB,magnesium oxide,50mg,복합,285800ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",50.0,mg
285800ATB,sodium bicarbonate,140mg,복합,285800ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",140.0,mg
285900ATB,aluminum hydroxide gel(dried),200mg,복합,285900ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",200.0,mg
285900ATB,calcium carbonate p.p.t.,100mg,복합,285900ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",100.0,mg
285900ATB,magnesium carbonate,50mg,복합,285900ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",50.0,mg
285900ATB,sodium bicarbonate,50mg,복합,285900ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",50.0,mg
286000ATB,aluminum magnesium hydroxide,100mg,복합,286000ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",100.0,mg
286000ATB,aluminum magnesium silicate,125mg,복합,286000ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",125.0,mg
286000ATB,magnesium oxide,50mg,복합,286000ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",50.0,mg
286000ATB,ranitidine HCl,31.5mg,복합,286000ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",31.5,mg
286200ATB,aluminum magnesium silicate,100mg,복합,286200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",100.0,mg
286200ATB,cimetidine,50mg,복합,286200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",50.0,mg
286200ATB,hydrotalcite,125mg,복합,286200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",125.0,mg
286200ATB,sodium bicarbonate,100mg,복합,286200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",100.0,mg
288500ATB,azintamide,75mg,복합,288500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",75.0,mg
288500ATB,cellulase-4000,10mg,복합,288500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",10.0,mg
288500ATB,pancreatin,100mg,복합,288500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",100.0,mg
288500ATB,simethicone,50mg,복합,288500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",50.0,mg
288600ATB,bile constituents(내핵장용부),50mg,복합,288600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",50.0,mg
288600ATB,hemicellulase(내핵장용부),100mg,복합,288600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",100.0,mg
288600ATB,pancreatin mixture,420mg,복합,288600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",420.0,mg
288600ATB,simethicone (위용부),80mg,복합,288600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",80.0,mg
288700ATB,carduus marianus ext.,100mg,복합,288700ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",100.0,mg
288700ATB,chelidonii herba ext.,50mg,복합,288700ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",50.0,mg
288700ATB,cyanocobalamin,250mcg,복합,288700ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",250.0,mcg
288700ATB,dried powder of bovis bile juice,40mg,복합,288700ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",40.0,mg
291100ATB,acrinol,10mg,복합,291100ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",10.0,mg
291100ATB,berberine chloride,20mg,복합,291100ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",20.0,mg
291100ATB,bismuth subnitrate,70mg,복합,291100ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",70.0,mg
291100ATB,scopolia ext.,5mg,복합,291100ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",5.0,mg
291400ATB,acrinol,12mg,복합,291400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",12.0,mg
291400ATB,albumin tannate,150mg,복합,291400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",150.0,mg
291400ATB,berberine chloride,38mg,복합,291400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",38.0,mg
291400ATB,scopolia ext.,7.5mg,복합,291400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",7.5,mg
291600ATB,activated lactobacillus,25mg,복합,291600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",25.0,mg
291600ATB,aspergillus oryse nk,125mg,복합,291600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",125.0,mg
291600ATB,calcium carbonate p.p.t.,7.5mg,복합,291600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",7.5,mg
291600ATB,yeast dried,92.5mg,복합,291600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",92.5,mg
292200ATB,bacillus subtilis,3mg,복합,292200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",3.0,mg
292200ATB,lactobacillus bifidus,3mg,복합,292200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",3.0,mg
292200ATB,lactobacillus sporogenes,5mg,복합,292200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",5.0,mg
292200ATB,thiamine nitrate,400mcg,복합,292200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",400.0,mcg
293400ATB,aloe ext.,9.5mg,복합,293400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",9.5,mg
293400ATB,bisacodyl,6mg,복합,293400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",6.0,mg
293400ATB,glycyrrhizinic acid,10mg,복합,293400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",10.0,mg
293400ATB,lactobacillus acidophillus,10mg,복합,293400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",10.0,mg
293500ATB,aloe powder,30mg,복합,293500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",30.0,mg
293500ATB,glycyrrhizae radix ext.,10mg,복합,293500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",10.0,mg
293500ATB,rhubarb powder,36mg,복합,293500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",36.0,mg
293500ATB,sennae folium powder,100mg,복합,293500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",100.0,mg
293600ATB,bisacodyl,4mg,복합,293600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",4.0,mg
293600ATB,casanthranol,14mg,복합,293600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",14.0,mg
293600ATB,dehydrocholic acid,50mg,복합,293600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",50.0,mg
293600ATB,docusate sodium,20mg,복합,293600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",20.0,mg
293700ATB,bisacodyl,4mg,복합,293700ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",4.0,mg
293700ATB,chelidonii folium 70% ethanol ext.(8->1),2mg,복합,293700ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",2.0,mg
293700ATB,sennae folium 70% ethanol ext.(5.5->1),20mg,복합,293700ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",20.0,mg
293700ATB,sennae fructus powder,100mg,복합,293700ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",100.0,mg
293800ATB,bisacodyl,5mg,복합,293800ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",5.0,mg
293800ATB,sennae folium powder,20mg,복합,293800ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",20.0,mg
293800ATB,sennae fructus ext.,25mg,복합,293800ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",25.0,mg
293800ATB,sennae fructus powder,60mg,복합,293800ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",60.0,mg
295200ATB,diastase,100mg,복합,295200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",100.0,mg
295200ATB,magnesium oxide,75mg,복합,295200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",75.0,mg
295200ATB,powdered korean gentian,25mg,복합,295200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",25.0,mg
295200ATB,sodium bicarbonate,300mg,복합,295200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",300.0,mg
295500ATB,metoclopramide HCl,3.91mg,복합,295500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",3.91,mg
295500ATB,protease,640i.u,복합,295500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",640.0,iu
295500ATB,α-amylase,2000i.u,복합,295500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",2000.0,iu
295500ATB,β-amylase,240i.u,복합,295500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",240.0,iu
298200ATB,(적색당의정6정중)estradiol hemihydrate,1mg/1정,복합,298200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",11.0,mg/정
298200ATB,(백색당의정10정중)estradiol hemihydrate,2mg/1정,복합,298200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",21.0,mg/정
298200ATB,(청색당의정12정중)estradiol hemihydrate,2mg/1정,복합,298200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",21.0,mg/정
298200ATB,(백색당의정10정중)norethisterone acetate,1mg/1정,복합,298200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",11.0,mg/정
300000ATB,fursultiamine HCl,54.57mg,복합,300000ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",54.57,mg
300000ATB,hydroxocobalamin acetate,261mcg,복합,300000ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",261.0,mcg
300000ATB,pyridoxal phosphate,30mg,복합,300000ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",30.0,mg
300000ATB,riboflavin,5mg,복합,300000ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",5.0,mg
300400ATB,cyanocobalamin,250mcg,복합,300400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",250.0,mcg
300400ATB,octotiamine,25mg,복합,300400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",25.0,mg
300400ATB,pyridoxine HCl,40mg,복합,300400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",40.0,mg
300400ATB,riboflavin,2.5mg,복합,300400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",2.5,mg
300500ATB,cyanocobalamin,250mcg,복합,300500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",250.0,mcg
300500ATB,pyridoxine HCl,25mg,복합,300500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",25.0,mg
300500ATB,thiamine nitrate,25mg,복합,300500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",25.0,mg
300500ATB,tocopherol acetate,25mg,복합,300500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",25.0,mg
303200ATB,calcium carbonate p.p.t.,240mg,복합,303200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",240.0,mg
303200ATB,calcium gluconate,240mg,복합,303200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",240.0,mg
303200ATB,calcium lactate,271.8mg,복합,303200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",271.8,mg
303200ATB,ergocalciferol,118mcg,복합,303200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",118.0,mcg
304400ATB,cyanocobalamin,300mcg,복합,304400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",300.0,mcg
304400ATB,ferrous sulfate dried,107.2mg,복합,304400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",107.2,mg
304400ATB,folic acid,500mcg,복합,304400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",500.0,mcg
304400ATB,serine,129mg,복합,304400ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",129.0,mg
306200ATB,arginine HCl,250mg,복합,306200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",250.0,mg
306200ATB,citrulline,75mg,복합,306200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",75.0,mg
306200ATB,liver ext.,2.5mg,복합,306200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",2.5,mg
306200ATB,ornithine HCl,25mg,복합,306200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",25.0,mg
307500ATB,adenine HCl,3.34mg,복합,307500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",3.34,mg
307500ATB,magnesium fructose16-diphosphate,60mg,복합,307500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",60.0,mg
307500ATB,potassium orotate,55.8mg,복합,307500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",55.8,mg
307500ATB,xanthine,6.66mg,복합,307500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",6.66,mg
309200ATB,ascorbic acid,20mg,복합,309200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",20.0,mg
309200ATB,mediaphos,30mg,복합,309200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",30.0,mg
309200ATB,glutamic acid,150mg,복합,309200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",150.0,mg
309200ATB,thiamine HCl,5mg,복합,309200ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",5.0,mg
310100ATB,aesculin,1.5mg,복합,310100ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",1.5,mg
310100ATB,echinacea ext.,1mg,복합,310100ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",1.0,mg
310100ATB,hamamelis ext.,8.2mg,복합,310100ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",8.2,mg
310100ATB,hippocastani ext.,16mg,복합,310100ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",16.0,mg
338800CTB,9-aminoacridine undecylenate,2mg,복합,338800CTB,TB,C,외용제,"정제, 저작정","TB, CH, CS",2.0,mg
338800CTB,methylbenzethonium chloride,3.6mg,복합,338800CTB,TB,C,외용제,"정제, 저작정","TB, CH, CS",3.6,mg
338800CTB,N-myristyl-3-hydroxybutylamine HCl,2mg,복합,338800CTB,TB,C,외용제,"정제, 저작정","TB, CH, CS",2.0,mg
338800CTB,succinic acid,12.5mg,복합,338800CTB,TB,C,외용제,"정제, 저작정","TB, CH, CS",12.5,mg
254700ATB,acetaminophen,150mg,복합,254700ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",150.0,mg
254700ATB,caffeine anhydrous,15mg,복합,254700ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",15.0,mg
254700ATB,chlorpheniramine maleate,1.5mg,복합,254700ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",1.5,mg
254700ATB,dextromethorphan Hbr,7.5mg,복합,254700ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",7.5,mg
254700ATB,methylephedrine HCl,10mg,복합,254700ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",10.0,mg
268500ATB,aminophylline,100mg,복합,268500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",100.0,mg
268500ATB,diphenhydramine HCl,10mg,복합,268500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",10.0,mg
268500ATB,ephedrine HCl,10mg,복합,268500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",10.0,mg
268500ATB,papaverine HCl,10mg,복합,268500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",10.0,mg
268500ATB,phenobarbital,8mg,복합,268500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",8.0,mg
276500ATB,aluminum glycyrrhizinate,25mg,복합,276500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",25.0,mg
276500ATB,biodiastase-700 G,50mg,복합,276500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",50.0,mg
276500ATB,carnitine HCl,100mg,복합,276500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",100.0,mg
276500ATB,ox bile ext.,50mg,복합,276500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",50.0,mg
276500ATB,thiamine HCl,5mg,복합,276500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",5.0,mg
276600ATB,aluminum magnesium metasilicate,60mg,복합,276600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",60.0,mg
276600ATB,biodiastase,5mg,복합,276600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",5.0,mg
276600ATB,carnitine HCl,50mg,복합,276600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",50.0,mg
276600ATB,dimethicone,25mg,복합,276600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",25.0,mg
276600ATB,sodium bicarbonate,300mg,복합,276600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",300.0,mg
276700ATB,azulene soluble,1mg,복합,276700ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",1.0,mg
276700ATB,biodiastase 2000,20mg,복합,276700ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",20.0,mg
276700ATB,carnitine HCl,100mg,복합,276700ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",100.0,mg
276700ATB,ox bile ext.,50mg,복합,276700ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",50.0,mg
276700ATB,thiamine HCl,5mg,복합,276700ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",5.0,mg
276800ATB,azulene soluble,1mg,복합,276800ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",1.0,mg
276800ATB,carnitine HCl,60mg,복합,276800ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",60.0,mg
276800ATB,pancreatine,175mg,복합,276800ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",175.0,mg
276800ATB,simethicone,30mg,복합,276800ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",30.0,mg
276800ATB,ursodeoxycholic acid,10mg,복합,276800ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",10.0,mg
276900ATB,biodiasmin f 100,10mg,복합,276900ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",10.0,mg
276900ATB,biodiastase-2000,25mg,복합,276900ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",25.0,mg
276900ATB,dehydrocholic acid,25mg,복합,276900ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",25.0,mg
276900ATB,lipase AP6,5mg,복합,276900ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",5.0,mg
276900ATB,newlase,10mg,복합,276900ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",10.0,mg
277000ATB,biodiastase 2000,30mg,복합,277000ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",30.0,mg
277000ATB,cellulase AP3,10mg,복합,277000ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",10.0,mg
277000ATB,newlase,40mg,복합,277000ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",40.0,mg
277000ATB,pancreatin,100mg,복합,277000ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",100.0,mg
277000ATB,panprosin-ss,30mg,복합,277000ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",30.0,mg
277300ATB,hydrotalcite,70mg,복합,277300ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",70.0,mg
277300ATB,magnesium aluminum metasilicate,75mg,복합,277300ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",75.0,mg
277300ATB,methylmethionine sulfonium chloride,12.5mg,복합,277300ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",12.5,mg
277300ATB,scopolia ext.,5mg,복합,277300ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",5.0,mg
277300ATB,sodium bicarbonate,250mg,복합,277300ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",250.0,mg
277500ATB,protease,320i.u,복합,277500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",320.0,iu
277500ATB,saccharomyces siccatum,50mg,복합,277500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",50.0,mg
277500ATB,sodium bicarbonate,125mg,복합,277500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",125.0,mg
277500ATB,α-amylase,1000i.u,복합,277500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",1000.0,iu
277500ATB,β-amylase,120i.u,복합,277500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",120.0,iu
286500ATB,aluminum hydroxide gel(dried),50mg,복합,286500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",50.0,mg
286500ATB,calcium carbonate p.p.t.,100mg,복합,286500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",100.0,mg
286500ATB,magnesium oxide,1.5mg,복합,286500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",1.5,mg
286500ATB,scopolia ext.,4mg,복합,286500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",4.0,mg
286500ATB,sodium bicarbonate,100mg,복합,286500ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",100.0,mg
286600ATB,aluminum hydroxide gel(dried),200mg,복합,286600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",200.0,mg
286600ATB,aluminum silicate synthetic,50mg,복합,286600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",50.0,mg
286600ATB,histidine HCl,10mg,복합,286600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",10.0,mg
286600ATB,magnesium oxide,70mg,복합,286600ATB,TB,A,내복제,"정제, 저작정","TB, CH, CS",70.0,mg
